TABLE ID	ID	STUDY	SAMPLE	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table7	53	shimohama1988	Brain	Cortical region	GABA A receptor	6	1099	142,07	7	911	126,99	
table7	210	cross1984	Brain	Cortical region	GABA A receptor	13	196	43,26	14	172	67,34	
table7	210	cross1984	Brain	Cortical region	GABA A receptor	14	214	41,15	12	186	41,56	
table7	210	cross1984	Brain	Cortical region	GABA A receptor	7	292	66,14	7	289	50,26	
table7	S11	owen1983	Brain	Cortical region	GABA A receptor	12	204,53	26,74	10	179,98	26,62	
table7	184	meyer1995	Brain	Cortical region	GABA A receptor	6	5,5	1,5	13	5,8	1	
table7	184	meyer1995	Brain	Cortical region	GABA A receptor	6	5,7	1,7	13	5,5	1	
table7	184	meyer1995	Brain	Cortical region	GABA A receptor	6	5,2	1,3	13	5	1	
table7	184	meyer1995	Brain	Cortical region	GABA A receptor	6	6,4	1,9	13	6,6	1	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	18878571	3884190,17798768	6	18614285,5	2327015,25564402	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7050000	1907101,67852844	6	6657142,5	3166839,96038543	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8878571	2746927,60801473	6	3635714	2449489,74278318	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	22370689,5	1545711,31034744	6	21389655	10667949,1420565	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5050000	3370159,85648515	6	6612068,5	2947833,53197293	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7320689,5	5984355,73906281	6	10881034	9422088,44433725	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	3631609	1983523,30901353	6	15508620,5	3930445,11754553	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	1389655	544799,586906506	6	6525862	2228472,28329185	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	2241954	912223,048323983	6	11282183,5	6544642,22486806	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	9410144,5	2644738,57018042	6	19994927,5	7946640,74726154	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	20439855	7579217,28584407	6	15108695,5	3489634,94343427	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7273188	2167265,65834406	6	17073188	3857058,40485175	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	149719101	43760546,9938431	6	119674157	116584702,52483	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	25644736,5	472063,213739431	6	18260526	4573668,87655168	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4831140	1929254,86376217	6	10086315,5	1781702,5006364	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	14105263	2323576,17204515	6	16307894,5	5585695,15970049	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	20884782,5	4297788,97054637	6	23416666,5	269443,87170615	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5758550,5	536348,847293904	6	10589855	1073923,66420407	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8595362	428571,298611445	6	14863768	2748930,06587945	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	24218965,5	3082555,467826	6	22779310	2525507,20746071	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5543620,5	2036834,00377547	6	12306896,5	3205029,95496516	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7563103	1444269,36688469	6	17915517	3009070,77554251	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	10798985,5	5679974,79515535	6	16848550,5	2950924,78802832	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	17100000	6189398,85119658	6	17465217	4286607,04987056	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	24850000	3379585,49301538	6	15519565	1780334,46061506	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	150205882	25111386,2310403	6	121521008	30966489,7448457	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	10056905	2890929,43575833	6	9588554,5	2322754,36823645	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7501086,5	2506466,09894519	6	5310652	3242378,54981825	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7783043	3455377,60463658	6	5910000	4142299,0359091	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7016739	4081061,79233953	6	8490869,5	7176472,18233566	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4255434,5	3214155,5290019	6	4933260,5	5912855,13347097	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	3975000	2878681,98704442	6	4796304	4755736,99964301	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	3897203	3761834,49110105	6	3240169	3358290,85393649	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	2226694,5	2597496,48625624	6	1603559	2311404,65751326	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	2492288	2881263,74923331	6	1852203	4001386,01473115	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7354421,5	2848841,07825296	6	8654161,5	1736595,14702305	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5911878,5	3379657,75296279	6	6578699	2814788,27184879	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5745173	2778045,92570704	6	6465895,5	1862157,21598298	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	154857142,5	29228175,0560232	6	48719747,5	43046179,0300027	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6755797	2344764,25832023	6	17980434,5	7224218,86114686	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4323913	1922316,68406574	6	12109420	6201823,88791684	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4028985,5	2167265,65834406	6	4468840,5	3734583,91771259	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7352173,5	6608297,11481377	6	4784782,5	6959745,00412881	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	3021739	2502739,20030154	6	1669565	2060765,51856246	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	3302173,5	3083161,71653734	6	2647826	5021453,97270552	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5497558	6233951,39538319	6	5230348,5	4728084,70993673	
