"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table29"	"96"	"kwakowsky2018"	"Brain"	"Temporal gyrus"	"GABA A receptor"	6	314277777.5	73348608.4313453	6	306444444	151868364.052557	"YES"	-0.662169490138501	0.032158406958484	-1.01364523051063	-0.310693749766367	48	48	57.2016421045021
"table3"	"15"	"liu2014"	"Brain"	"Cerebellum"	"GABA"	12	347.5	50.92	12	299.5	50.92	"YES"	-0.91008703106737	0.187108049865882	-1.75788881720619	-0.0622852449285533	12	12	53.1520009617651
"table3"	"83"	"seidl2001"	"Brain"	"Cerebellum"	"GABA"	5	1.8	0.5	8	1.1	0.3	"N/A"	-1.69108236433583	0.479238090575033	-3.0479071099283	-0.334257618743363	5	8	20.7520383751054
"table3"	"200"	"mohanakrishnan1997"	"Brain"	"Cerebellum"	"GABA"	4	1.44	0.55	13	0.91	0.38	"N/A"	-1.19884916691238	0.381099871156561	-2.40879935663911	0.0111010228143593	4	13	26.0959606631295
"table30"	"193"	"soricelli1996"	"Brain"	"Occipital cortex"	"GABA A receptor"	5	82.6	18.5	6	76.9	15.9	"N/A"	-0.304546282656069	0.373039988636315	-1.5016334786525	0.892540913340365	5	6	43.3814688557471
"table30"	"210"	"cross1984"	"Brain"	"Occipital cortex"	"GABA A receptor"	7	292	66.14	7	289	50.26	"YES"	-0.0478016306736394	0.285825547253131	-1.09565041254785	1.00004715120057	7	7	56.6185311442529
"table31"	"185"	"ohyama1999"	"Brain"	"Parietal cortex"	"GABA A receptor"	5	4.6	0.53	5	3.73	1.58	"N/A"	-0.666450502390504	0.435359959170726	-1.95967026535943	0.626769260578427	5	5	27.5659059926679
"table31"	"193"	"soricelli1996"	"Brain"	"Parietal cortex"	"GABA A receptor"	5	70.2	13.4	6	50.4	9	"N/A"	-1.72887450695303	0.152530623975398	-2.49434175700118	-0.963407256904886	10	12	38.3928631979952
"table31"	"184"	"meyer1995"	"Brain"	"Parietal cortex"	"GABA A receptor"	6	5.2	1.3	13	5	1	"N/A"	-0.174165398154204	0.244583476203222	-1.1434730645104	0.795142268201995	6	13	34.0412308093369
"table32"	"53"	"shimohama1988"	"Brain"	"Putamen"	"GABA A receptor"	7	391	52.91	6	413	93.08	"YES"	0.276749787773878	0.31365463372006	-0.820925646658135	1.37442522220589	7	6	28.0048280456386
"table32"	"10"	"griffiths1994"	"Brain"	"Putamen"	"GABA A receptor"	9	83	5	5	77	4	"N/A"	-0.538252538573589	0.0214581037997151	-0.825359525804457	-0.251145551342721	18	10	71.9951719543614
"table33"	"213"	"cross1986"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	258	46.87	13	244	72.11	"YES"	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	39.2405729942747
"table33"	"185"	"ohyama1999"	"Brain"	"Temporal cortex"	"GABA A receptor"	5	4.84	0.63	5	3.89	1.61	"N/A"	-0.70148871997222	0.439175751782556	-2.00036345046784	0.597386010523401	5	5	5.81574591015692
"table33"	"193"	"soricelli1996"	"Brain"	"Temporal cortex"	"GABA A receptor"	5	65.7	9.1	6	52.7	6	"N/A"	-1.64107450232992	0.139081463130184	-2.37201616439091	-0.910132840268922	10	12	14.5307676661802
"table33"	"53"	"shimohama1988"	"Brain"	"Temporal cortex"	"GABA A receptor"	6	1099	142.07	7	911	126.99	"YES"	-1.30418439481001	0.401259876785982	-2.54572508809	-0.0626437015300263	6	7	6.29258560564507
"table33"	"210"	"cross1984"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	196	43.26	14	172	67.34	"YES"	-0.407812895698836	0.151926985277804	-1.171763979013	0.356138187615331	13	14	13.6548865179508
"table33"	"S11"	"owen1983"	"Brain"	"Temporal cortex"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	"N/A"	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	10.9414343972572
"table33"	"184"	"meyer1995"	"Brain"	"Temporal cortex"	"GABA A receptor"	6	5.7	1.7	13	5.5	1	"N/A"	-0.15314248674219	0.244358054816422	-1.12200336689073	0.815718393406349	6	13	9.52400690853508
"table34"	"53"	"shimohama1988"	"Brain"	"Thalamus"	"GABA A receptor"	7	421	148.16	6	375	68.58	"YES"	-0.360112640130015	0.316518022464454	-1.46278709313269	0.742561812872655	7	6	43.5413711549631
"table34"	"184"	"meyer1995"	"Brain"	"Thalamus"	"GABA A receptor"	6	3.5	0.9	13	3.4	0.7	"N/A"	-0.124969465751569	0.244101370778707	-1.09332134596939	0.843382414466253	6	13	56.4586288450368
"table35"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus "	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.277711420076156	0.0171023735905854	0.0213950844977146	0.534027755654598	432	432	20.2874626682114
"table35"	"20"	"jansen1990"	"Brain"	"Hippocampus "	"GABA A receptor"	9	223	63	8	246	76.3675323681471	"YES"	0.31064394657826	0.00978266978402435	0.116789044314277	0.504498848842242	18	16	20.7285646198122
"table35"	"212"	"rissman2004"	"Brain"	"Hippocampus "	"GABA A receptor"	6	0.12	0.073484692283495	6	0.07	0.019595917942265	"YES"	-1.51621500908785	0.109676720296526	-2.16530560723875	-0.867124410936955	48	48	15.9852932745085
