TABLE ID	ID	STUDY	SAMPLE 	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9619561	1385572,244	6	9051403,5	1558261,271	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	125184873,5	38048396,93	6	92988655	38611368,05	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9677941	5628782,909	6	16979411,5	9275640,801	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	10615384	4705180,756	6	12623529	3421360,316	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6231764,5	5808892,665	6	9300882	5424178,256	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9695072	13879020,76	6	20734782,5	4591727,74	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5168695,5	10315901,13	6	8445362	9079263,984	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5666086,5	10952590,87	6	11669565	7371188,246	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7498115,5	6765028,941	6	17707971	4444758,355	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5168695,5	5705890,397	6	11102173,5	7548688,07	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5921014	6820053,054	6	12331884	5828364,884	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	11123255,5	6366394,081	6	10690697,5	5245610,453	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6625813,5	5738641,299	6	14883720,5	3342413,261	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	6683953	6223981,972	6	12629069,5	3232186,223	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	30742957,5	0	6	173323943,5	52574329,16	
table3	20	jansen1990	Brain	Whole brain	GABA A receptor	9	276	78	8	300	107,48	
table3	20	jansen1990	Brain	Whole brain	GABA A receptor	9	223	63	8	246	76,3675323681471	
table3	20	jansen1990	Brain	Whole brain	GABA A receptor	9	85	24	8	93	25,4558441227157	
table3	20	jansen1990	Brain	Whole brain	GABA A receptor	9	135	30	8	81	22,62	
table3	213	cross1986	Brain	Whole brain	GABA A receptor	13	258	46,87	13	244	72,11	
table3	213	cross1986	Brain	Whole brain	GABA A receptor	13	458	57,68	13	387	43,26	
table3	79	howell2000	Brain	Whole brain	GABA A receptor	5	162	42,485291572496	5	148	53,665631459995	
table3	79	howell2000	Brain	Whole brain	GABA A receptor	5	39	24,5967477524977	5	40	24,5967477524977	
table3	79	howell2000	Brain	Whole brain	GABA A receptor	5	70	60,3738353924943	5	53	24,5967477524977	
table3	79	howell2000	Brain	Whole brain	GABA A receptor	5	70	4,47213595499958	5	69	4,47213595499958	
table3	79	howell2000	Brain	Whole brain	GABA A receptor	5	97	35,7770876399966	5	62	38,0131556174964	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,1825	0,004242640687119	8	0,23	0,048083261120685	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,484	0,148492424049175	8	0,5775	0,222031529292576	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,9265	0,425678282274302	8	1,007	0,282842712474619	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,425	0,148492424049175	8	0,511	0,124450793488832	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,96	0,445477272147525	8	1,037	0,212132034355964	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,3405	0,089095454429505	8	0,3495	0,098994949366117	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,1775	0	8	0,16885	0	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,1425	0,025455844122716	8	0,1505	0,007071067811865	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,383	0,098994949366117	8	0,3275	0,098994949366117	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,7325	0,311126983722081	8	0,6025	0,311126983722081	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,304	0,069296464556282	8	0,2335	0,066468037431536	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,249	0,055012907576313	8	0,22	0,02941564209736	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,152	0,003818376618407	8	0,152	0	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,538	0,135764501987817	8	0,344	0,026162950903902	
